"";"Start";"End";"Pitch";"Velocity";"Instrument"
0;"0.500";"0.500";"43.000";"1.000";"Violoncello (2)"
1;"0.500";"0.500";"55.000";"1.000";"Viola (2)"
2;"0.500";"0.500";"55.000";"1.000";"Contrabass (2)"
3;"0.500";"0.500";"67.000";"1.000";"Violin I"
4;"0.500";"0.500";"67.000";"1.000";"Violin II"
5;"0.500";"0.500";"69.000";"1.000";"Clarinet in B^b"
6;"0.500";"0.500";"69.000";"1.000";"Clarinet in B^b"
7;"1.000";"0.500";"43.000";"1.000";"Violoncello (2)"
8;"1.000";"0.500";"55.000";"1.000";"Viola (2)"
9;"1.000";"0.500";"55.000";"1.000";"Contrabass (2)"
10;"1.000";"0.500";"67.000";"1.000";"Violin I"
11;"1.000";"0.500";"67.000";"1.000";"Violin II"
12;"1.000";"0.500";"69.000";"1.000";"Clarinet in B^b"
13;"1.000";"0.500";"69.000";"1.000";"Clarinet in B^b"
14;"1.500";"0.500";"43.000";"1.000";"Violoncello (2)"
15;"1.500";"0.500";"55.000";"1.000";"Viola (2)"
16;"1.500";"0.500";"55.000";"1.000";"Contrabass (2)"
17;"1.500";"0.500";"67.000";"1.000";"Violin I"
18;"1.500";"0.500";"67.000";"1.000";"Violin II"
19;"1.500";"0.500";"69.000";"1.000";"Clarinet in B^b"
20;"1.500";"0.500";"69.000";"1.000";"Clarinet in B^b"
21;"2.000";"2.000";"39.000";"1.000";"Violoncello (2)"
22;"2.000";"2.000";"51.000";"1.000";"Viola (2)"
23;"2.000";"2.000";"51.000";"1.000";"Contrabass (2)"
24;"2.000";"2.000";"63.000";"1.000";"Violin I"
25;"2.000";"2.000";"63.000";"1.000";"Violin II"
26;"2.000";"2.000";"65.000";"1.000";"Clarinet in B^b"
27;"2.000";"2.000";"65.000";"1.000";"Clarinet in B^b"
28;"4.500";"0.500";"41.000";"1.000";"Violoncello (2)"
29;"4.500";"0.500";"53.000";"1.000";"Viola (2)"
30;"4.500";"0.500";"53.000";"1.000";"Contrabass (2)"
31;"4.500";"0.500";"65.000";"1.000";"Violin I"
32;"4.500";"0.500";"65.000";"1.000";"Violin II"
33;"4.500";"0.500";"67.000";"1.000";"Clarinet in B^b"
34;"4.500";"0.500";"67.000";"1.000";"Clarinet in B^b"
35;"5.000";"0.500";"41.000";"1.000";"Violoncello (2)"
36;"5.000";"0.500";"53.000";"1.000";"Viola (2)"
37;"5.000";"0.500";"53.000";"1.000";"Contrabass (2)"
38;"5.000";"0.500";"65.000";"1.000";"Violin I"
39;"5.000";"0.500";"65.000";"1.000";"Violin II"
40;"5.000";"0.500";"67.000";"1.000";"Clarinet in B^b"
41;"5.000";"0.500";"67.000";"1.000";"Clarinet in B^b"
42;"5.500";"0.500";"41.000";"1.000";"Violoncello (2)"
43;"5.500";"0.500";"53.000";"1.000";"Viola (2)"
44;"5.500";"0.500";"53.000";"1.000";"Contrabass (2)"
45;"5.500";"0.500";"65.000";"1.000";"Violin I"
46;"5.500";"0.500";"65.000";"1.000";"Violin II"
47;"5.500";"0.500";"67.000";"1.000";"Clarinet in B^b"
48;"5.500";"0.500";"67.000";"1.000";"Clarinet in B^b"
49;"6.000";"2.000";"38.000";"1.000";"Violoncello (2)"
50;"6.000";"2.000";"50.000";"1.000";"Viola (2)"
51;"6.000";"2.000";"50.000";"1.000";"Contrabass (2)"
52;"6.000";"2.000";"62.000";"1.000";"Violin I"
53;"6.000";"2.000";"62.000";"1.000";"Violin II"
54;"6.000";"2.000";"64.000";"1.000";"Clarinet in B^b"
