"Start";"Duration";"Pitch";"Velocity";"Instrument"
"6.724";"0.517";67;"0.598";"Soprano"
"7.241";"0.517";69;"0.606";"Soprano"
"7.759";"0.517";71;"0.614";"Soprano"
"8.276";"0.776";72;"0.614";"Soprano"
"9.052";"0.129";74;"0.614";"Soprano"
"9.181";"0.129";72;"0.598";"Soprano"
"9.310";"0.517";71;"0.583";"Soprano"
"9.828";"0.517";76;"0.646";"Soprano"
"10.345";"0.517";69;"0.551";"Soprano"
"10.862";"0.776";74;"0.622";"Soprano"
"11.638";"0.259";76;"0.622";"Soprano"
"11.897";"0.259";74;"0.598";"Soprano"
"12.155";"0.259";72;"0.575";"Soprano"
"12.414";"0.259";71;"0.567";"Soprano"
"12.672";"0.259";67;"0.528";"Soprano"
"12.931";"0.259";69;"0.567";"Soprano"
"13.190";"0.259";71;"0.606";"Soprano"
"13.448";"0.259";72;"0.630";"Soprano"
"13.707";"0.259";71;"0.606";"Soprano"
"13.966";"0.259";72;"0.622";"Soprano"
"14.224";"0.259";74;"0.654";"Soprano"
"14.483";"0.259";76;"0.669";"Soprano"
"14.741";"0.259";74;"0.622";"Soprano"
"15.000";"0.259";76;"0.646";"Soprano"
"15.259";"0.259";78;"0.669";"Soprano"
"15.517";"0.517";79;"0.661";"Soprano"
"16.034";"0.517";71;"0.535";"Soprano"
"17.069";"0.517";69;"0.567";"Soprano"
"17.586";"0.259";74;"0.622";"Soprano"
"17.845";"0.259";72;"0.598";"Soprano"
"18.103";"0.259";71;"0.591";"Soprano"
"18.362";"0.259";69;"0.567";"Soprano"
"18.621";"0.776";67;"0.543";"Soprano"
"19.397";"0.259";67;"0.575";"Soprano"
"19.655";"0.259";65;"0.559";"Soprano"
"19.914";"0.259";64;"0.559";"Soprano"
"20.172";"0.259";65;"0.591";"Soprano"
"20.431";"0.259";67;"0.622";"Soprano"
"20.690";"0.259";69;"0.654";"Soprano"
"20.948";"0.259";67;"0.606";"Soprano"
"21.207";"0.259";69;"0.638";"Soprano"
"21.466";"0.259";71;"0.661";"Soprano"
"21.724";"2.069";72;"0.661";"Soprano"
"23.793";"1.034";71;"0.598";"Soprano"
"0.517";"0.517";60;"0.598";"Alto"
"1.034";"0.517";62;"0.606";"Alto"
"1.552";"0.517";64;"0.614";"Alto"
"2.069";"0.776";65;"0.614";"Alto"
"2.845";"0.129";67;"0.614";"Alto"
"2.974";"0.129";65;"0.598";"Alto"
"3.103";"0.517";64;"0.583";"Alto"
"3.621";"0.517";69;"0.646";"Alto"
"4.138";"0.517";62;"0.551";"Alto"
"4.655";"0.776";67;"0.622";"Alto"
"5.431";"0.259";69;"0.622";"Alto"
"5.690";"0.259";67;"0.598";"Alto"
"5.948";"0.259";65;"0.575";"Alto"
"6.207";"0.259";64;"0.567";"Alto"
"6.466";"0.259";65;"0.591";"Alto"
"6.724";"0.259";64;"0.575";"Alto"
"6.983";"0.259";62;"0.551";"Alto"
"7.241";"0.259";60;"0.535";"Alto"
"7.500";"0.259";62;"0.583";"Alto"
"7.759";"0.259";60;"0.551";"Alto"
"8.017";"0.259";59;"0.551";"Alto"
"8.276";"0.517";57;"0.535";"Alto"
"8.793";"0.517";66;"0.677";"Alto"
"9.310";"1.552";67;"0.661";"Alto"
