"time";"frequency"
"0.0000";"0.0000"
"0.0058";"0.0000"
"0.0116";"0.0000"
"0.0174";"0.0000"
"0.0232";"0.0000"
"0.0290";"0.0000"
"0.0348";"0.0000"
"0.0406";"0.0000"
"0.0464";"0.0000"
"0.0522";"615.1068"
"0.0580";"618.6700"
"0.0639";"622.2540"
"0.0697";"625.8586"
"0.0755";"629.4842"
"0.0813";"629.4842"
"0.0871";"633.1308"
"0.0929";"633.1308"
"0.0987";"633.1308"
"0.1045";"633.1308"
"0.1103";"629.4842"
"0.1161";"629.4842"
"0.1219";"629.4842"
"0.1277";"625.8586"
"0.1335";"625.8586"
"0.1393";"625.8586"
"0.1451";"622.2540"
"0.1509";"622.2540"
"0.1567";"622.2540"
"0.1625";"622.2540"
"0.1683";"625.8586"
"0.1741";"625.8586"
"0.1800";"629.4842"
"0.1858";"629.4842"
"0.1916";"629.4842"
"0.1974";"633.1308"
"0.2032";"636.7985"
"0.2090";"640.4874"
"0.2148";"644.1977"
"0.2206";"651.6829"
"0.2264";"659.2551"
"0.2322";"659.2551"
"0.2380";"663.0741"
"0.2438";"666.9153"
"0.2496";"674.6645"
"0.2554";"670.7787"
"0.2612";"674.6645"
"0.2670";"674.6645"
"0.2728";"678.5728"
"0.2786";"674.6645"
"0.2844";"674.6645"
"0.2902";"674.6645"
"0.2961";"670.7787"
"0.3019";"666.9153"
"0.3077";"666.9153"
"0.3135";"663.0741"
"0.3193";"655.4581"
"0.3251";"647.9295"
"0.3309";"636.7985"
"0.3367";"633.1308"
"0.3425";"625.8586"
"0.3483";"622.2540"
"0.3541";"618.6700"
"0.3599";"611.5640"
"0.3657";"608.0417"
"0.3715";"608.0417"
"0.3773";"611.5640"
"0.3831";"618.6700"
"0.3889";"625.8586"
"0.3947";"625.8586"
"0.4005";"629.4842"
"0.4063";"644.1977"
"0.4122";"651.6829"
"0.4180";"655.4581"
"0.4238";"670.7787"
"0.4296";"674.6645"
"0.4354";"678.5728"
"0.4412";"682.5037"
"0.4470";"686.4574"
"0.4528";"698.4565"
"0.4586";"702.5026"
"0.4644";"706.5721"
"0.4702";"702.5026"
"0.4760";"702.5026"
"0.4818";"698.4565"
"0.4876";"694.4336"
"0.4934";"686.4574"
"0.4992";"678.5728"
"0.5050";"674.6645"
"0.5108";"666.9153"
"0.5166";"663.0741"
"0.5224";"644.1977"
"0.5283";"633.1308"
"0.5341";"625.8586"
"0.5399";"618.6700"
"0.5457";"618.6700"
"0.5515";"615.1068"
"0.5573";"615.1068"
"0.5631";"611.5640"
"0.5689";"618.6700"
"0.5747";"622.2540"
"0.5805";"625.8586"
"0.5863";"629.4842"
"0.5921";"636.7985"
"0.5979";"644.1977"
"0.6037";"647.9295"
"0.6095";"655.4581"
"0.6153";"663.0741"
"0.6211";"670.7787"
"0.6269";"674.6645"
"0.6327";"682.5037"
"0.6385";"686.4574"
"0.6444";"694.4336"
"0.6502";"698.4565"
"0.6560";"702.5026"
"0.6618";"702.5026"
"0.6676";"698.4565"
"0.6734";"694.4336"
"0.6792";"686.4574"
"0.6850";"678.5728"
"0.6908";"670.7787"
"0.6966";"666.9153"
"0.7024";"663.0741"
"0.7082";"655.4581"
"0.7140";"636.7985"
"0.7198";"625.8586"
"0.7256";"622.2540"
"0.7314";"622.2540"
"0.7372";"618.6700"
"0.7430";"618.6700"
"0.7488";"622.2540"
"0.7546";"629.4842"
"0.7605";"633.1308"
"0.7663";"647.9295"
"0.7721";"647.9295"
"0.7779";"663.0741"
"0.7837";"666.9153"
"0.7895";"670.7787"
"0.7953";"678.5728"
"0.8011";"698.4565"
"0.8069";"702.5026"
"0.8127";"714.7821"
"0.8185";"718.9228"
"0.8243";"718.9228"
"0.8301";"718.9228"
"0.8359";"714.7821"
"0.8417";"698.4565"
"0.8475";"678.5728"
"0.8533";"670.7787"
"0.8591";"670.7787"
"0.8649";"666.9153"
"0.8707";"682.5037"
"0.8766";"682.5037"
"0.8824";"690.4340"
"0.8882";"690.4340"
"0.8940";"694.4336"
"0.8998";"694.4336"
"0.9056";"690.4340"
"0.9114";"690.4340"
"0.9172";"686.4574"
"0.9230";"682.5037"
"0.9288";"686.4574"
"0.9346";"682.5037"
"0.9404";"694.4336"
"0.9462";"690.4340"
"0.9520";"698.4565"
"0.9578";"698.4565"
"0.9636";"690.4340"
"0.9694";"698.4565"
"0.9752";"694.4336"
"0.9810";"698.4565"
"0.9868";"682.5037"
"0.9927";"674.6645"
"0.9985";"417.7105"
"1.0043";"417.7105"
"1.0101";"415.3047"
"1.0159";"422.5641"
"1.0217";"434.9462"
"1.0275";"432.4411"
"1.0333";"434.9462"
"1.0391";"434.9462"
"1.0449";"432.4411"
"1.0507";"432.4411"
"1.0565";"432.4411"
"1.0623";"432.4411"
"1.0681";"432.4411"
"1.0739";"429.9504"
"1.0797";"427.4741"
"1.0855";"420.1303"
"1.0913";"412.9127"
"1.0971";"415.3047"
"1.1029";"412.9127"
"1.1088";"415.3047"
"1.1146";"415.3047"
"1.1204";"412.9127"
"1.1262";"410.5345"
"1.1320";"410.5345"
"1.1378";"408.1700"
"1.1436";"403.4818"
"1.1494";"405.8191"
"1.1552";"403.4818"
"1.1610";"401.1579"
"1.1668";"405.8191"
"1.1726";"405.8191"
"1.1784";"405.8191"
"1.1842";"412.9127"
"1.1900";"415.3047"
"1.1958";"420.1303"
"1.2016";"429.9504"
"1.2074";"434.9462"
"1.2132";"437.4658"
"1.2190";"440.0000"
"1.2249";"440.0000"
"1.2307";"445.1126"
"1.2365";"442.5489"
"1.2423";"440.0000"
"1.2481";"437.4658"
"1.2539";"437.4658"
"1.2597";"437.4658"
"1.2655";"432.4411"
"1.2713";"434.9462"
"1.2771";"437.4658"
"1.2829";"440.0000"
"1.2887";"440.0000"
"1.2945";"432.4411"
"1.3003";"420.1303"
"1.3061";"0.0000"
"1.3119";"0.0000"
"1.3177";"0.0000"
"1.3235";"0.0000"
"1.3293";"0.0000"
"1.3351";"0.0000"
"1.3410";"0.0000"
"1.3468";"0.0000"
"1.3526";"0.0000"
"1.3584";"0.0000"
"1.3642";"0.0000"
"1.3700";"0.0000"
"1.3758";"0.0000"
"1.3816";"0.0000"
"1.3874";"0.0000"
"1.3932";"0.0000"
"1.3990";"0.0000"
"1.4048";"0.0000"
"1.4106";"0.0000"
"1.4164";"0.0000"
"1.4222";"0.0000"
"1.4280";"0.0000"
"1.4338";"0.0000"
"1.4396";"0.0000"
"1.4454";"0.0000"
"1.4512";"415.3047"
"1.4571";"415.3047"
"1.4629";"417.7105"
"1.4687";"417.7105"
"1.4745";"415.3047"
"1.4803";"415.3047"
"1.4861";"420.1303"
"1.4919";"420.1303"
"1.4977";"415.3047"
"1.5035";"403.4818"
"1.5093";"391.9954"
"1.5151";"394.2662"
"1.5209";"398.8474"
"1.5267";"405.8191"
"1.5325";"415.3047"
"1.5383";"425.0120"
"1.5441";"432.4411"
"1.5499";"432.4411"
"1.5557";"432.4411"
"1.5615";"432.4411"
"1.5673";"432.4411"
"1.5732";"434.9462"
"1.5790";"437.4658"
"1.5848";"434.9462"
"1.5906";"427.4741"
"1.5964";"422.5641"
"1.6022";"415.3047"
"1.6080";"0.0000"
"1.6138";"0.0000"
"1.6196";"0.0000"
"1.6254";"0.0000"
"1.6312";"0.0000"
"1.6370";"0.0000"
"1.6428";"0.0000"
"1.6486";"0.0000"
"1.6544";"0.0000"
"1.6602";"0.0000"
"1.6660";"0.0000"
"1.6718";"0.0000"
"1.6776";"0.0000"
"1.6834";"0.0000"
"1.6893";"0.0000"
"1.6951";"0.0000"
"1.7009";"0.0000"
"1.7067";"0.0000"
"1.7125";"0.0000"
"1.7183";"0.0000"
"1.7241";"0.0000"
"1.7299";"0.0000"
"1.7357";"0.0000"
"1.7415";"0.0000"
"1.7473";"0.0000"
"1.7531";"0.0000"
"1.7589";"0.0000"
"1.7647";"0.0000"
"1.7705";"0.0000"
"1.7763";"0.0000"
"1.7821";"0.0000"
"1.7879";"0.0000"
"1.7937";"0.0000"
"1.7995";"0.0000"
"1.8054";"0.0000"
"1.8112";"0.0000"
"1.8170";"0.0000"
"1.8228";"0.0000"
"1.8286";"0.0000"
"1.8344";"0.0000"
"1.8402";"0.0000"
"1.8460";"0.0000"
"1.8518";"351.2513"
"1.8576";"361.5437"
"1.8634";"369.9944"
"1.8692";"374.2936"
"1.8750";"378.6426"
"1.8808";"389.7377"
"1.8866";"394.2662"
"1.8924";"396.5502"
"1.8982";"401.1579"
"1.9040";"405.8191"
"1.9098";"405.8191"
"1.9156";"403.4818"
"1.9215";"401.1579"
"1.9273";"401.1579"
"1.9331";"401.1579"
"1.9389";"410.5345"
"1.9447";"415.3047"
"1.9505";"408.1700"
"1.9563";"408.1700"
"1.9621";"415.3047"
"1.9679";"417.7105"
"1.9737";"417.7105"
"1.9795";"417.7105"
"1.9853";"420.1303"
"1.9911";"425.0120"
"1.9969";"425.0120"
"2.0027";"422.5641"
"2.0085";"434.9462"
"2.0143";"440.0000"
"2.0201";"445.1126"
"2.0259";"442.5489"
"2.0317";"445.1126"
"2.0376";"445.1126"
"2.0434";"447.6911"
"2.0492";"450.2845"
"2.0550";"450.2845"
"2.0608";"445.1126"
"2.0666";"445.1126"
"2.0724";"442.5489"
"2.0782";"440.0000"
"2.0840";"434.9462"
"2.0898";"425.0120"
"2.0956";"417.7105"
"2.1014";"405.8191"
"2.1072";"398.8474"
"2.1130";"394.2662"
"2.1188";"394.2662"
"2.1246";"394.2662"
"2.1304";"391.9954"
"2.1362";"387.4930"
"2.1420";"389.7377"
"2.1478";"396.5502"
"2.1537";"401.1579"
"2.1595";"405.8191"
"2.1653";"410.5345"
"2.1711";"417.7105"
"2.1769";"425.0120"
"2.1827";"437.4658"
"2.1885";"442.5489"
"2.1943";"447.6911"
"2.2001";"450.2845"
"2.2059";"452.8930"
"2.2117";"458.1553"
"2.2175";"463.4789"
"2.2233";"463.4789"
"2.2291";"463.4789"
"2.2349";"458.1553"
"2.2407";"452.8930"
"2.2465";"450.2845"
"2.2523";"445.1126"
"2.2581";"442.5489"
"2.2639";"432.4411"
"2.2698";"427.4741"
"2.2756";"425.0120"
"2.2814";"415.3047"
"2.2872";"403.4818"
"2.2930";"398.8474"
"2.2988";"396.5502"
"2.3046";"396.5502"
"2.3104";"396.5502"
"2.3162";"396.5502"
"2.3220";"396.5502"
"2.3278";"401.1579"
"2.3336";"401.1579"
"2.3394";"408.1700"
"2.3452";"415.3047"
"2.3510";"427.4741"
"2.3568";"440.0000"
"2.3626";"445.1126"
"2.3684";"445.1126"
"2.3742";"450.2845"
"2.3800";"452.8930"
"2.3859";"455.5166"
"2.3917";"460.8094"
"2.3975";"463.4789"
"2.4033";"466.1638"
"2.4091";"463.4789"
"2.4149";"458.1553"
"2.4207";"452.8930"
"2.4265";"447.6911"
"2.4323";"450.2845"
"2.4381";"445.1126"
"2.4439";"437.4658"
"2.4497";"425.0120"
"2.4555";"420.1303"
"2.4613";"420.1303"
"2.4671";"415.3047"
"2.4729";"412.9127"
"2.4787";"405.8191"
"2.4845";"410.5345"
"2.4903";"417.7105"
"2.4961";"415.3047"
"2.5020";"420.1303"
"2.5078";"425.0120"
"2.5136";"437.4658"
"2.5194";"440.0000"
"2.5252";"445.1126"
"2.5310";"447.6911"
"2.5368";"450.2845"
"2.5426";"455.5166"
"2.5484";"460.8094"
"2.5542";"468.8642"
"2.5600";"468.8642"
"2.5658";"466.1638"
"2.5716";"463.4789"
"2.5774";"458.1553"
"2.5832";"450.2845"
"2.5890";"452.8930"
"2.5948";"452.8930"
"2.6006";"452.8930"
"2.6064";"458.1553"
"2.6122";"466.1638"
"2.6180";"466.1638"
"2.6239";"460.8094"
"2.6297";"450.2845"
"2.6355";"445.1126"
"2.6413";"442.5489"
"2.6471";"442.5489"
"2.6529";"442.5489"
"2.6587";"442.5489"
"2.6645";"455.5166"
"2.6703";"468.8642"
"2.6761";"477.0598"
"2.6819";"479.8234"
"2.6877";"493.8833"
"2.6935";"499.6219"
"2.6993";"505.4273"
"2.7051";"511.3001"
"2.7109";"511.3001"
"2.7167";"517.2411"
"2.7225";"511.3001"
"2.7283";"511.3001"
"2.7341";"505.4273"
"2.7400";"502.5162"
"2.7458";"499.6219"
"2.7516";"493.8833"
"2.7574";"488.2106"
"2.7632";"477.0598"
"2.7690";"468.8642"
"2.7748";"463.4789"
"2.7806";"458.1553"
"2.7864";"452.8930"
"2.7922";"455.5166"
"2.7980";"455.5166"
"2.8038";"455.5166"
"2.8096";"458.1553"
"2.8154";"460.8094"
"2.8212";"468.8642"
"2.8270";"474.3122"
"2.8328";"482.6030"
"2.8386";"496.7443"
"2.8444";"502.5162"
"2.8502";"508.3552"
"2.8561";"514.2620"
"2.8619";"520.2374"
"2.8677";"520.2374"
"2.8735";"517.2411"
"2.8793";"517.2411"
"2.8851";"514.2620"
"2.8909";"511.3001"
"2.8967";"508.3552"
"2.9025";"505.4273"
"2.9083";"499.6219"
"2.9141";"499.6219"
"2.9199";"488.2106"
"2.9257";"474.3122"
"2.9315";"471.5803"
"2.9373";"468.8642"
"2.9431";"466.1638"
"2.9489";"466.1638"
"2.9547";"463.4789"
"2.9605";"460.8094"
"2.9663";"460.8094"
"2.9722";"466.1638"
"2.9780";"477.0598"
"2.9838";"491.0387"
"2.9896";"493.8833"
"2.9954";"496.7443"
"3.0012";"499.6219"
"3.0070";"505.4273"
"3.0128";"514.2620"
"3.0186";"517.2411"
"3.0244";"514.2620"
"3.0302";"511.3001"
"3.0360";"508.3552"
"3.0418";"505.4273"
"3.0476";"502.5162"
"3.0534";"499.6219"
"3.0592";"505.4273"
"3.0650";"511.3001"
"3.0708";"520.2374"
"3.0766";"523.2511"
"3.0824";"520.2374"
"3.0883";"508.3552"
"3.0941";"493.8833"
"3.0999";"479.8234"
"3.1057";"0.0000"
"3.1115";"0.0000"
"3.1173";"0.0000"
"3.1231";"0.0000"
"3.1289";"0.0000"
"3.1347";"0.0000"
"3.1405";"0.0000"
"3.1463";"0.0000"
"3.1521";"0.0000"
"3.1579";"0.0000"
"3.1637";"0.0000"
"3.1695";"0.0000"
"3.1753";"0.0000"
"3.1811";"0.0000"
"3.1869";"0.0000"
"3.1927";"0.0000"
"3.1985";"541.7035"
"3.2044";"544.8416"
"3.2102";"551.1724"
"3.2160";"557.5767"
"3.2218";"564.0554"
"3.2276";"564.0554"
"3.2334";"564.0554"
"3.2392";"560.8067"
"3.2450";"560.8067"
"3.2508";"560.8067"
"3.2566";"554.3653"
"3.2624";"547.9978"
"3.2682";"551.1724"
"3.2740";"557.5767"
"3.2798";"560.8067"
"3.2856";"564.0554"
"3.2914";"560.8067"
"3.2972";"554.3653"
"3.3030";"554.3653"
"3.3088";"560.8067"
"3.3146";"560.8067"
"3.3205";"551.1724"
"3.3263";"538.5836"
"3.3321";"541.7035"
"3.3379";"557.5767"
"3.3437";"557.5767"
"3.3495";"557.5767"
"3.3553";"560.8067"
"3.3611";"551.1724"
"3.3669";"544.8416"
"3.3727";"541.7035"
"3.3785";"538.5836"
"3.3843";"535.4815"
"3.3901";"551.1724"
"3.3959";"560.8067"
"3.4017";"560.8067"
"3.4075";"0.0000"
"3.4133";"0.0000"
"3.4191";"0.0000"
"3.4249";"0.0000"
"3.4307";"0.0000"
"3.4366";"0.0000"
"3.4424";"0.0000"
"3.4482";"0.0000"
"3.4540";"0.0000"
"3.4598";"0.0000"
"3.4656";"0.0000"
"3.4714";"0.0000"
"3.4772";"0.0000"
"3.4830";"0.0000"
"3.4888";"0.0000"
"3.4946";"0.0000"
"3.5004";"544.8416"
"3.5062";"547.9978"
